chr,start,end,id,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position
chr1,44793662,44793993,13126,N,N,N,N,N,705,Distal,44793827
chr1,44799554,44800512,13127,44799837,44799856,3.44e-05,+,1,761,Promoter,44799846
chr1,44835617,44836177,13144,44836022,44836041,1.84e-06,+,1,759,Intron,44836031
chr1,45014512,45014809,13174,45014647,45014666,2.42e-07,+,2,747,Intron,45014656
chr1,45018643,45018985,13175,45018815,45018834,5.14e-06,+,1,723,Exon,45018824
chr1,45300303,45300586,13239,45300438,45300457,1.65e-05,-,1,710,Distal,45300447
chr1,45303801,45304258,13241,45304118,45304137,4.3e-06,-,1,722,Promoter,45304127
chr1,45359817,45360303,13254,45359959,45359978,4.42e-06,+,1,717,Intron,45359968
chr1,45493082,45493480,13292,45493302,45493321,2.85e-07,-,2,701,Distal,45493311
chr1,45512590,45512905,13299,45512763,45512782,4.81e-07,+,1,737,Intron,45512772
chr1,45569993,45570362,13311,45570233,45570252,7.25e-08,-,1,761,Distal,45570242
chr1,45881631,45881969,13392,45881775,45881794,1.29e-06,-,1,648,Intron,45881784
chr1,46037105,46037350,13439,46037221,46037240,3.04e-09,+,1,763,Distal,46037230
chr1,46179584,46179899,13477,46179713,46179732,9.85e-09,-,1,753,Intron,46179722
chr1,46223516,46223994,13491,46223638,46223657,7.46e-08,-,2,761,Distal,46223647
chr1,46333278,46333861,13515,46333673,46333692,1.24e-06,+,1,642,Distal,46333682
chr1,46340584,46341046,13517,46340923,46340942,1.77e-05,+,2,753,Promoter,46340932
chr1,46348138,46348415,13519,46348265,46348284,8.79e-07,-,4,765,Intron,46348274
chr1,46406130,46406633,13538,46406510,46406529,3.91e-08,+,1,750,Intron,46406519
chr1,46442333,46442942,13547,46442445,46442464,1.07e-06,+,2,758,Intron,46442454
chr1,46446885,46447152,13549,46447016,46447035,2.12e-07,+,1,745,Exon,46447025
chr1,46477465,46477759,13554,46477590,46477609,1.93e-07,+,1,758,Distal,46477599
chr1,46528060,46528347,13568,46528198,46528217,7.31e-09,-,1,756,Distal,46528207
chr1,46547807,46548352,13576,46548171,46548190,4.58e-06,-,2,696,Intron,46548180
chr1,46622475,46622815,13605,46622651,46622670,4.14e-05,+,1,665,Distal,46622660
chr1,46725262,46725565,13634,46725418,46725437,1.65e-07,-,1,756,Distal,46725427
chr1,46747571,46748014,13638,46747877,46747896,8.29e-08,+,1,689,Distal,46747886
chr1,46878049,46878579,13674,46878385,46878404,1.39e-05,+,1,635,Intron,46878394
chr1,46934869,46935176,13677,46935040,46935059,7.5e-07,+,1,637,Exon,46935049
chr1,47089348,47090011,13705,47089521,47089540,6.42e-06,-,1,628,Intron,47089530
chr1,47173786,47174165,13722,47174010,47174029,4.11e-07,-,2,656,Distal,47174019
chr1,47175293,47175653,13723,47175516,47175535,6.3e-06,-,1,745,Distal,47175525
chr1,47179179,47179456,13724,47179308,47179327,1.34e-08,+,2,753,Promoter,47179317
chr1,47192638,47193266,13726,47193063,47193082,1.24e-08,+,3,762,Distal,47193072
chr1,47262860,47263155,13742,47263003,47263022,1.25e-06,-,1,706,Exon,47263012
chr1,47388790,47389126,13770,47388939,47388958,2.46e-06,+,1,739,Intron,47388948
chr1,47424333,47424728,13780,47424543,47424562,2.02e-07,-,2,735,Intron,47424552
chr1,47432406,47432711,13782,47432552,47432571,6.76e-06,+,2,661,Exon,47432561
chr1,47436498,47436790,13784,N,N,N,N,N,734,Promoter,47436644
chr1,47437714,47438073,13785,47437964,47437983,2.74e-08,+,2,731,Promoter,47437973
chr1,47449903,47450347,13787,47450087,47450106,2.42e-07,+,1,665,Distal,47450096
chr1,47710518,47710991,13861,47710662,47710681,2.32e-06,-,1,752,Distal,47710671
chr1,47726308,47726592,13864,47726434,47726453,4.09e-08,-,1,747,Distal,47726443
chr1,47738580,47738898,13867,47738770,47738789,6.39e-07,+,1,715,Distal,47738779
chr1,47755445,47755982,13873,47755601,47755620,2.41e-09,-,2,688,Distal,47755610
chr1,47997636,47997963,13950,47997782,47997801,2.06e-08,+,2,741,Promoter,47997791
chr1,48061130,48061517,13968,48061360,48061379,4.42e-06,-,1,685,Distal,48061369
chr1,48093705,48094069,13976,48093856,48093875,8.6e-06,+,1,742,Distal,48093865
chr1,48109363,48109762,13981,48109582,48109601,2.59e-07,+,1,715,Intron,48109591
chr1,48202213,48202498,13991,48202342,48202361,7.26e-07,-,1,738,Distal,48202351
chr1,48203310,48203674,13993,N,N,N,N,N,660,Distal,48203492
chr1,48236723,48237429,14006,48237035,48237054,2.33e-05,-,1,698,Intron,48237044
chr1,48498120,48498844,14050,48498266,48498285,6.05e-07,-,2,759,Distal,48498275
chr1,48530672,48531092,14053,48530913,48530932,3.63e-07,-,1,705,Distal,48530922
chr1,48572638,48573029,14058,48572829,48572848,1.02e-06,+,1,701,Intron,48572838
chr1,48677332,48677684,14083,48677500,48677519,1.13e-05,+,1,718,Intron,48677509
chr1,48696906,48697438,14089,48697279,48697298,1.77e-08,-,2,744,Intron,48697288
chr1,48817548,48817866,14116,48817698,48817717,2.85e-05,-,1,712,Intron,48817707
chr1,50271986,50272323,14295,50272144,50272163,5.1e-06,-,1,684,Distal,50272153
chr1,50333016,50333539,14305,50333166,50333185,5.61e-07,-,1,673,Distal,50333175
chr1,50348697,50349035,14307,50348878,50348897,1.42e-07,-,1,746,Distal,50348887
chr1,50368465,50368847,14312,50368622,50368641,8.82e-06,+,2,736,Distal,50368631
chr1,50704062,50704426,14396,50704223,50704242,1.67e-06,-,1,683,Intron,50704232
chr1,50774561,50775107,14412,50774948,50774967,2.72e-07,+,1,680,Intron,50774957
chr1,50873427,50873856,14433,50873537,50873556,8.79e-07,+,2,727,Intron,50873546
chr1,51189491,51189745,14524,51189604,51189623,2.19e-06,-,1,705,Distal,51189613
chr1,51192239,51192755,14525,51192374,51192393,1.93e-06,-,2,719,Distal,51192383
chr1,51296843,51297142,14560,51296976,51296995,2.69e-07,-,1,761,Intron,51296985
chr1,51534974,51535329,14617,51535182,51535201,1.72e-06,-,1,711,Distal,51535191
chr1,51768958,51769344,14698,51769157,51769176,2.69e-07,-,1,724,Intron,51769166
chr1,51896903,51897218,14733,51897027,51897046,7.76e-06,+,1,724,Distal,51897036
chr1,52002106,52002630,14765,52002466,52002485,8.89e-05,-,1,753,Distal,52002475
chr1,52127464,52127857,14795,52127610,52127629,1.51e-06,+,2,714,Distal,52127619
chr1,52141697,52142533,14798,52142325,52142344,5.28e-06,-,2,692,Promoter,52142334
chr1,52296293,52296645,14836,52296442,52296461,1.01e-06,-,1,710,Intron,52296451
chr1,52404423,52405118,14863,52404904,52404923,3.03e-06,-,2,668,Promoter,52404913
chr1,52686231,52686565,14934,52686405,52686424,2.3e-06,-,2,742,Exon,52686414
chr1,52700653,52701260,14939,52701059,52701078,8.24e-06,+,1,705,Distal,52701068
chr1,52904623,52905193,14981,52905158,52905177,3.63e-05,-,3,650,Intron,52905167
chr1,52921502,52921981,14984,52921772,52921791,1.86e-05,-,1,669,Promoter,52921781
chr1,53182058,53182580,15071,53182187,53182206,9.56e-07,-,1,742,Distal,53182196
chr1,53185663,53186014,15072,53185891,53185910,2.28e-06,-,2,713,Distal,53185900
chr1,53278260,53278583,15088,53278405,53278424,4.18e-06,+,1,750,Intron,53278414
chr1,53393313,53393677,15126,53393489,53393508,1.08e-10,-,1,760,Distal,53393498
chr1,53444609,53444970,15144,53444744,53444763,2.28e-06,+,2,697,Distal,53444753
chr1,53485512,53485791,15155,53485629,53485648,4.51e-08,+,2,749,Distal,53485638
chr1,53682136,53682538,15216,53682280,53682299,9.26e-07,-,3,672,Intron,53682289
chr1,53754670,53755102,15234,53754879,53754898,3.64e-08,-,1,726,Distal,53754888
chr1,53860860,53861229,15258,53861059,53861078,2.36e-08,+,2,742,Intron,53861068
chr1,53878525,53879082,15265,53878683,53878702,1.13e-06,+,1,674,Exon,53878692
chr1,53949060,53949441,15291,53949209,53949228,1.86e-07,-,1,679,Intron,53949218
chr1,53959561,53960249,15298,N,N,N,N,N,671,Intron,53959905
chr1,54069823,54070402,15331,54070284,54070303,5.43e-07,+,2,731,Intron,54070293
chr1,54081712,54082014,15334,54081834,54081853,1.32e-08,-,1,742,Intron,54081843
chr1,54121494,54121975,15348,54121728,54121747,1.62e-06,+,1,733,Distal,54121737
chr1,54181690,54182015,15366,54181872,54181891,1.39e-06,+,1,695,Intron,54181881
chr1,54311008,54311325,15418,54311158,54311177,1.54e-06,+,2,678,Intron,54311167
chr1,54489417,54489887,15477,54489567,54489586,2.02e-07,-,4,758,Distal,54489576
chr1,54672066,54672348,15529,54672199,54672218,3.43e-07,+,3,749,Intron,54672208
chr1,54791935,54792251,15556,54792082,54792101,3.2e-07,-,2,670,Intron,54792091
chr1,54810493,54810801,15564,N,N,N,N,N,745,Intron,54810647
chr1,54945143,54945436,15602,54945269,54945288,6.98e-08,+,1,748,Distal,54945278
chr1,54950655,54951216,15605,54950837,54950856,5.14e-07,+,1,740,Distal,54950846
chr1,54996422,54996756,15617,54996570,54996589,8.18e-08,-,2,750,Distal,54996579
chr1,55022048,55022609,15623,55022244,55022263,1.34e-08,-,1,757,Distal,55022253
chr1,55071517,55071819,15634,55071669,55071688,1.74e-06,+,1,640,Intron,55071678
chr1,55140577,55140839,15647,55140708,55140727,1.05e-06,+,1,740,Intron,55140717
chr1,55277555,55277864,15685,55277712,55277731,7.76e-08,-,1,754,Distal,55277721
chr1,55284788,55285214,15687,55284956,55284975,1.77e-05,+,1,692,Distal,55284965
chr1,55338103,55338472,15702,55338293,55338312,4.11e-07,-,1,638,Distal,55338302
chr1,55375430,55376023,15713,55375835,55375854,1.2e-06,+,2,750,Distal,55375844
chr1,55701962,55702407,15787,55702246,55702265,7.65e-05,+,1,675,Distal,55702255
chr1,56579233,56579957,15971,56579496,56579515,2.18e-05,-,1,624,Promoter,56579505
chr1,56584958,56585284,15973,56585095,56585114,5.33e-06,-,1,699,Distal,56585104
chr1,56709244,56709687,15993,56709467,56709486,7.34e-07,-,1,629,Exon,56709476
chr1,56803565,56803888,16008,56803743,56803762,1.11e-05,-,1,661,Intron,56803752
chr1,56821080,56821362,16011,56821211,56821230,7.76e-08,-,1,755,Promoter,56821220
chr1,56831900,56832184,16014,56832058,56832077,7.87e-08,+,1,755,Distal,56832067
chr1,56968241,56968608,16036,56968427,56968446,7.98e-08,-,1,621,Distal,56968436
chr1,58047273,58047815,16233,58047435,58047454,4.57e-08,-,1,718,Intron,58047444
chr1,58163029,58163378,16256,58163153,58163172,1.53e-07,-,1,736,Intron,58163162
chr1,58515814,58516160,16324,58515983,58516002,2.04e-05,+,1,703,Intron,58515992
chr1,58546730,58547137,16333,58546880,58546899,1.7e-05,-,1,764,Promoter,58546889
chr1,58652553,58652898,16371,58652771,58652790,5.86e-08,-,1,738,Distal,58652780
chr1,58699908,58700462,16378,N,N,N,N,N,633,Promoter,58700185
chr1,58739873,58740244,16387,58740035,58740054,3.96e-08,+,1,679,Distal,58740044
chr1,58769267,58769611,16398,58769433,58769452,7.58e-07,-,3,739,Distal,58769442
chr1,58785046,58785471,16405,58785279,58785298,1.35e-05,+,2,681,Promoter,58785288
chr1,59290132,59290541,16585,59290212,59290231,1.09e-05,+,1,676,Distal,59290221
chr1,59699264,59699580,16714,59699422,59699441,5.38e-06,-,1,732,Distal,59699431
chr1,59759500,59759758,16730,59759631,59759650,1.05e-06,-,1,757,Distal,59759640
chr1,59879602,59879913,16752,59879737,59879756,2.23e-06,+,1,673,Distal,59879746
chr1,59903105,59903513,16759,59903338,59903357,2.53e-06,+,1,671,Intron,59903347
chr1,59947356,59947698,16767,59947505,59947524,8.97e-06,-,1,755,Distal,59947514
chr1,59971366,59971699,16771,59971550,59971569,2.86e-08,+,1,755,Distal,59971559
chr1,59976798,59977208,16773,59976987,59977006,6.88e-07,+,1,750,Distal,59976996
chr1,60281384,60281714,16819,60281531,60281550,2.06e-05,+,1,737,Distal,60281540
chr1,60765232,60765530,16879,60765386,60765405,7.11e-07,-,1,670,Intron,60765395
chr1,60848353,60848978,16891,60848765,60848784,1.79e-06,+,1,655,Distal,60848774
chr1,60978959,60979332,16923,60979141,60979160,6.03e-06,+,1,677,Distal,60979150
chr1,61042984,61043370,16938,61043113,61043132,9.22e-08,-,1,723,Distal,61043122
chr1,61049903,61050240,16939,61050054,61050073,1.21e-07,+,1,762,Distal,61050063
chr1,61338199,61338553,17024,61338381,61338400,6.07e-05,+,2,687,Intron,61338390
chr1,61453395,61453687,17044,61453551,61453570,8.82e-06,-,1,735,Intron,61453560
chr1,61588682,61589018,17080,61588842,61588861,1.38e-07,-,1,740,Distal,61588851
chr1,61641759,61642077,17093,61641907,61641926,7.63e-06,-,1,720,Distal,61641916
chr1,61851857,61852674,17135,61852306,61852325,1.71e-07,-,1,672,Intron,61852315
chr1,62082752,62083083,17187,62082915,62082934,1.09e-07,+,1,739,Intron,62082924
chr1,62131174,62131430,17197,62131289,62131308,9.96e-07,-,1,685,Intron,62131298
chr1,62135729,62136126,17198,62135928,62135947,3.71e-07,+,2,698,Intron,62135937
chr1,62144037,62144593,17202,62144418,62144437,7.66e-07,-,1,701,Intron,62144427
chr1,62175601,62175942,17211,62175753,62175772,2.36e-07,+,2,709,Distal,62175762
chr1,62391386,62391767,17279,62391554,62391573,6.76e-06,+,1,647,Distal,62391563
chr1,62407456,62407762,17283,62407591,62407610,4.92e-07,-,1,696,Distal,62407600
chr1,62508200,62508557,17307,62508350,62508369,1.39e-06,+,1,645,Intron,62508359
chr1,62746437,62746878,17351,62746714,62746733,1.04e-06,-,1,640,Distal,62746723
chr1,62841624,62841999,17377,62841760,62841779,6.98e-08,+,1,676,Intron,62841769
chr1,62912068,62912396,17389,62912202,62912221,8.79e-07,+,1,672,Distal,62912211
chr1,62963043,62963583,17402,62963371,62963390,2.69e-07,+,2,679,Distal,62963380
chr1,63149055,63149372,17440,63149224,63149243,8.34e-07,-,1,684,Distal,63149233
chr1,63316964,63317271,17475,63317104,63317123,1.67e-07,+,1,692,Promoter,63317113
chr1,63327614,63327894,17480,63327754,63327773,1.13e-07,+,1,738,Promoter,63327763
chr1,63441652,63442118,17501,63441801,63441820,1.98e-05,-,1,731,Intron,63441810
chr1,63557430,63557801,17521,63557574,63557593,8.86e-08,+,1,658,Intron,63557583
chr1,63575310,63575853,17523,63575437,63575456,9.85e-07,+,1,695,Distal,63575446
chr1,63615828,63616271,17533,63616008,63616027,5.67e-07,+,1,733,Intron,63616017
chr1,63674392,63674751,17550,63674580,63674599,2.86e-06,+,1,713,Distal,63674589
chr1,63691942,63692243,17552,63692099,63692118,1.42e-06,+,2,726,Distal,63692108
chr1,63773691,63774192,17580,63773924,63773943,4.22e-06,+,2,672,Promoter,63773933
chr1,64137115,64137406,17689,64137266,64137285,5.92e-07,-,1,745,Intron,64137275
chr1,64246386,64246755,17716,64246516,64246535,3.31e-07,-,1,645,Distal,64246525
chr1,64268818,64269493,17723,64269235,64269254,5.14e-07,+,2,728,Distal,64269244
chr1,64675379,64676062,17790,64675927,64675946,9.73e-08,-,2,678,Exon,64675936
chr1,64686731,64687081,17793,64686918,64686937,2.48e-05,+,1,729,Intron,64686927
chr1,64744286,64745119,17806,64744555,64744574,5.83e-06,+,2,693,Promoter,64744564
chr1,64824087,64824505,17822,64824360,64824379,2.1e-07,-,1,736,Intron,64824369
chr1,65059927,65060282,17891,65060105,65060124,3.17e-05,+,1,625,Promoter,65060114
chr1,65075405,65075715,17897,65075555,65075574,1.51e-06,-,1,734,Distal,65075564
chr1,65209087,65209679,17929,65209452,65209471,2.86e-06,-,1,706,Intron,65209461
chr1,65235887,65236239,17937,65236068,65236087,2.18e-05,+,1,640,Distal,65236077
chr1,65430850,65431440,17985,65431284,65431303,7.83e-07,+,1,629,Intron,65431293
chr1,65459191,65459773,17995,65459563,65459582,2.39e-07,-,1,682,Intron,65459572
chr1,65687720,65688013,18034,65687853,65687872,3.75e-09,-,1,755,Distal,65687862
chr1,65958646,65959227,18079,65959024,65959043,1.9e-06,+,1,673,Intron,65959033
chr1,66242718,66242992,18125,66242862,66242881,1.42e-07,-,2,762,Intron,66242871
chr1,66253373,66253627,18129,66253495,66253514,3.19e-05,+,1,699,Intron,66253504
chr1,66446422,66446737,18197,66446595,66446614,6.74e-07,-,1,722,Distal,66446604
chr1,66503848,66504220,18210,66504034,66504053,2.92e-05,-,1,704,Distal,66504043
chr1,66725785,66726385,18256,66726233,66726252,2.45e-07,-,2,751,Intron,66726242
chr1,66764815,66765345,18264,66765175,66765194,3.06e-06,+,1,688,Intron,66765184
chr1,66996104,66996399,18302,66996231,66996250,1.98e-07,+,1,736,Distal,66996240
chr1,67149201,67149468,18333,67149352,67149371,2.32e-05,-,1,738,Distal,67149361
chr1,67347633,67348148,18378,67347864,67347883,5.48e-08,+,2,728,Intron,67347873
chr1,67500495,67500878,18412,67500619,67500638,4.09e-08,-,2,764,Distal,67500628
chr1,67532371,67532743,18420,67532569,67532588,5.31e-07,+,1,686,Distal,67532578
chr1,67535438,67535716,18421,67535571,67535590,4.96e-06,+,1,733,Distal,67535580
chr1,67561706,67562066,18429,67561818,67561837,9.85e-06,+,2,749,Distal,67561827
chr1,67760110,67760596,18496,67760432,67760451,1.93e-06,-,1,741,Intron,67760441
chr1,67766134,67766501,18499,67766278,67766297,3.11e-06,+,1,734,Intron,67766287
chr1,67853647,67853994,18530,67853806,67853825,2.89e-06,+,1,715,Intron,67853815
chr1,68116678,68117051,18593,68116831,68116850,1.43e-09,+,1,720,Intron,68116840
chr1,68120012,68120498,18594,68120340,68120359,1.27e-06,+,1,720,Intron,68120349
chr1,68342803,68343094,18647,68342924,68342943,3.23e-06,-,1,751,Distal,68342933
chr1,68443089,68443605,18669,68443255,68443274,5.72e-06,-,2,693,Intron,68443264
chr1,68470400,68470762,18676,68470546,68470565,3.35e-07,+,1,621,Distal,68470555
chr1,68600081,68600418,18692,68600224,68600243,1.68e-05,+,1,632,Distal,68600233
chr1,69737579,69737988,18827,69737768,69737787,2.33e-07,-,1,706,Distal,69737777
chr1,70132999,70133326,18885,70133120,70133139,2.63e-06,+,2,739,Distal,70133129
chr1,70487854,70488206,18967,70488070,70488089,3.05e-05,-,1,695,Distal,70488079
chr1,70510105,70510717,18972,70510282,70510301,4.29e-07,-,1,709,Distal,70510291
chr1,70528798,70529076,18975,70528918,70528937,1.61e-05,+,1,706,Distal,70528927
chr1,70685342,70685668,19007,70685475,70685494,1.31e-06,+,2,748,Distal,70685484
chr1,71049971,71050347,19068,71050190,71050209,1.38e-06,-,1,704,Intron,71050199
chr1,71080918,71081457,19075,71081296,71081315,4.66e-06,-,1,734,Promoter,71081305
chr1,71521690,71522039,19134,71521849,71521868,1.99e-06,-,2,638,Intron,71521858
chr1,72037779,72038297,19193,72037928,72037947,2.51e-08,-,1,626,Intron,72037937
chr1,72623179,72623780,19251,72623384,72623403,1.98e-07,+,1,634,Distal,72623393
chr1,74469016,74469365,19434,74469187,74469206,2.21e-06,-,1,627,Intron,74469196
chr1,74504129,74504469,19441,N,N,N,N,N,708,Intron,74504299
chr1,74689779,74690163,19468,74689991,74690010,4.35e-07,-,1,713,Distal,74690000
chr1,74733671,74734010,19477,74733884,74733903,1.75e-05,-,1,704,Promoter,74733893
chr1,74771963,74772282,19486,74772109,74772128,1.51e-07,+,1,663,Distal,74772118
chr1,75203629,75204021,19555,75203888,75203907,1.42e-06,-,2,691,Intron,75203897
chr1,75233296,75233652,19564,75233506,75233525,6.88e-07,+,2,672,Intron,75233515
chr1,75265717,75266111,19570,75265872,75265891,2.36e-07,+,1,667,Intron,75265881
chr1,75632324,75632680,19627,75632535,75632554,1.21e-05,-,1,688,Distal,75632544
chr1,75991546,75991867,19698,75991695,75991714,1.61e-08,+,1,742,Distal,75991704
chr1,76154164,76154545,19725,76154295,76154314,7.26e-07,+,1,756,Intron,76154304
chr1,76330996,76331309,19756,76331182,76331201,5.37e-07,+,2,742,Intron,76331191
chr1,76901199,76901576,19827,76901344,76901363,4.66e-06,+,1,712,Intron,76901353
chr1,77126068,77126563,19866,77126417,77126436,7.91e-05,-,1,673,Intron,77126426
chr1,77533648,77534076,19933,77533871,77533890,6.66e-07,-,1,751,Intron,77533880
chr1,77683396,77683731,19968,77683541,77683560,5.26e-05,-,1,736,Promoter,77683550
chr1,77900723,77901074,20020,N,N,N,N,N,675,Intron,77900898
chr1,77979214,77979680,20041,77979514,77979533,5.08e-05,-,1,726,Promoter,77979523
chr1,78114394,78114716,20074,78114533,78114552,7.34e-07,-,2,732,Intron,78114542
chr1,78130757,78131408,20080,78130944,78130963,6.61e-08,+,1,696,Intron,78130953
chr1,78145052,78145379,20082,78145225,78145244,1.86e-07,+,1,741,Distal,78145234
chr1,78333463,78334034,20132,N,N,N,N,N,700,Intron,78333748
chr1,78607367,78608539,20182,78607517,78607536,2.37e-06,-,3,661,Distal,78607526
chr1,78617554,78617895,20183,78617699,78617718,3.06e-07,+,1,747,Distal,78617708
chr1,78676371,78676711,20189,78676541,78676560,2.36e-08,-,1,681,Distal,78676550
chr1,78839728,78840074,20211,78839880,78839899,1.05e-07,+,1,634,Distal,78839889
chr1,79353030,79353572,20272,79353428,79353447,4.06e-07,-,1,625,Distal,79353437
chr1,79497233,79497509,20296,N,N,N,N,N,694,Distal,79497371
chr1,81414403,81414767,20529,81414592,81414611,9.78e-05,+,1,688,Distal,81414601
chr1,82775425,82775811,20725,82775588,82775607,4.39e-08,+,1,660,Distal,82775597
chr1,83860346,83860764,20871,83860600,83860619,3.35e-07,-,1,646,Promoter,83860609
chr1,83931510,83931999,20885,83931848,83931867,7e-06,+,1,668,Intron,83931857
chr1,84122827,84123159,20921,84122980,84122999,3.13e-07,-,1,702,Distal,84122989
chr1,84433800,84434437,20981,84433975,84433994,1.34e-06,-,2,719,Distal,84433984
chr1,84620695,84621194,21022,84620843,84620862,5.25e-07,-,2,751,Promoter,84620852
chr1,84724343,84724697,21049,84724525,84724544,2.96e-05,-,1,618,Distal,84724534
chr1,84753504,84753854,21057,84753723,84753742,1.37e-06,-,2,755,Distal,84753732
chr1,84772330,84772712,21065,84772520,84772539,3.64e-08,-,1,755,Distal,84772529
chr1,84782486,84782804,21069,84782648,84782667,1.45e-06,-,2,701,Distal,84782657
chr1,84936161,84936572,21112,84936399,84936418,5.02e-07,-,1,750,Intron,84936408
chr1,84944735,84945263,21114,84944846,84944865,5.1e-06,+,2,761,Intron,84944855
chr1,85109444,85109719,21157,85109571,85109590,7.76e-06,+,1,730,Intron,85109580
chr1,85259533,85260064,21195,85259751,85259770,1.91e-07,-,1,753,Promoter,85259760
chr1,85308179,85308513,21211,85308297,85308316,9.22e-08,+,2,752,Distal,85308306
chr1,85344229,85344538,21224,85344420,85344439,2.51e-08,+,3,674,Intron,85344429
chr1,85502605,85503227,21257,85502977,85502996,1.12e-05,-,1,653,Intron,85502986
chr1,85576992,85577476,21276,85577119,85577138,1.07e-08,+,2,661,Promoter,85577128
chr1,85581111,85581567,21279,85581391,85581410,2.36e-07,-,2,670,Promoter,85581400
chr1,85613043,85613391,21292,85613246,85613265,4.2e-05,+,1,617,Distal,85613255
chr1,85708132,85708906,21314,85708668,85708687,2.26e-05,+,1,651,Promoter,85708677
chr1,86018198,86018664,21361,86018485,86018504,2.1e-07,-,1,670,Intron,86018494
chr1,86380286,86380728,21424,N,N,N,N,N,676,Intron,86380507
chr1,86419208,86419758,21431,86419460,86419479,8.53e-06,+,1,654,Distal,86419469
chr1,86474062,86474528,21443,86474226,86474245,2.26e-06,+,1,728,Intron,86474235
chr1,86499818,86500329,21448,86500125,86500144,1.27e-06,+,3,679,Exon,86500134
chr1,86507799,86508540,21453,86508178,86508197,6.33e-05,-,2,679,Distal,86508187
chr1,86704362,86704717,21487,86704510,86704529,1.4e-05,+,1,745,Promoter,86704519
chr1,86741990,86742425,21496,86742132,86742151,1.03e-06,-,1,675,Intron,86742141
chr1,86833565,86833932,21521,86833769,86833788,4.14e-09,+,2,726,Distal,86833778
chr1,86965256,86965631,21543,86965433,86965452,9.85e-08,-,2,696,Intron,86965442
chr1,87025199,87025554,21554,87025384,87025403,4.46e-05,-,1,663,Intron,87025393
chr1,87131634,87132071,21571,87131904,87131923,1.15e-07,+,1,754,Distal,87131913
chr1,87292921,87293293,21609,87293109,87293128,9.11e-08,+,1,723,Distal,87293118
chr1,87326028,87326306,21617,87326146,87326165,2.16e-05,+,1,715,Distal,87326155
chr1,87953756,87954066,21737,87953926,87953945,3.27e-07,-,1,735,Distal,87953935
chr1,88061527,88061836,21759,88061650,88061669,1.47e-06,-,1,707,Distal,88061659
chr1,88180529,88180825,21772,88180695,88180714,8.99e-08,+,1,752,Distal,88180704
chr1,88608156,88608830,21837,88608311,88608330,1.06e-05,+,1,652,Intron,88608320
chr1,88655448,88656367,21848,88655876,88655895,3.06e-07,+,1,624,Intron,88655885
chr1,88736678,88736964,21863,88736817,88736836,1.56e-06,+,1,674,Intron,88736826
chr1,88800344,88800764,21874,88800584,88800603,5.26e-05,+,1,655,Intron,88800593
chr1,88877363,88878276,21888,88877550,88877569,1.61e-07,-,1,665,Intron,88877559
chr1,88935963,88936292,21905,88936105,88936124,6.69e-08,+,1,675,Exon,88936114
chr1,88973338,88974224,21913,88973716,88973735,6.18e-07,+,3,649,Intron,88973725
chr1,88983799,88984504,21914,88984029,88984048,1.08e-07,+,1,704,Exon,88984038
chr1,88998694,88999088,21920,88998872,88998891,8.63e-08,+,1,619,Distal,88998881
chr1,89358300,89358639,22004,89358471,89358490,4.5e-06,-,1,744,Distal,89358480
chr1,89455032,89455491,22026,89455349,89455368,4.11e-06,-,1,656,Distal,89455358
chr1,89483102,89483591,22032,89483431,89483450,3.69e-08,+,1,733,Distal,89483440
chr1,89519834,89520122,22038,89519977,89519996,6.51e-05,+,1,651,Distal,89519986
chr1,89599090,89599582,22062,89599216,89599235,4.34e-06,-,1,674,Distal,89599225
chr1,89615922,89616380,22071,89616121,89616140,2.05e-06,+,1,628,Distal,89616130
chr1,89632606,89633531,22080,89633358,89633377,5.26e-05,+,2,630,Promoter,89633367
chr1,89762867,89763264,22124,89763130,89763149,2.51e-07,-,2,761,Distal,89763139
chr1,89804713,89804969,22136,89804827,89804846,2.36e-07,+,1,751,Distal,89804836
chr1,89843198,89844119,22146,89843414,89843433,1.74e-06,+,1,652,Intron,89843423
chr1,89987239,89987547,22179,89987386,89987405,2.72e-07,-,1,723,Distal,89987395
chr1,90045962,90046321,22194,90046149,90046168,8.38e-06,+,1,658,Distal,90046158
chr1,90114569,90114865,22207,90114715,90114734,3.03e-06,+,1,637,Distal,90114724
chr1,90133027,90133489,22212,90133205,90133224,1.8e-05,+,1,641,Distal,90133214
chr1,90578998,90579812,22285,90579402,90579421,2.47e-08,+,1,692,Distal,90579411
chr1,90721357,90721813,22309,90721597,90721616,8.82e-06,+,2,727,Distal,90721606
chr1,90851094,90851810,22340,90851501,90851520,1.47e-06,+,4,665,Distal,90851510
chr1,91165255,91165694,22400,91165437,91165456,1.45e-08,-,1,744,Distal,91165446
chr1,91166149,91166428,22402,91166303,91166322,1.47e-08,+,1,693,Distal,91166312
chr1,91282731,91283071,22421,91282876,91282895,1.51e-06,+,1,732,Intron,91282885
chr1,91500669,91501713,22460,91501454,91501473,9.28e-06,-,1,670,Promoter,91501463
chr1,91511417,91511755,22463,91511586,91511605,6.05e-07,+,1,647,Exon,91511595
chr1,91927329,91928023,22594,91927466,91927485,2.79e-07,-,1,664,Distal,91927475
chr1,91997662,91997958,22604,91997797,91997816,3.85e-06,+,1,641,Intron,91997806
chr1,92291419,92291697,22654,92291566,92291585,1.66e-05,-,1,688,Intron,92291575
